"Please rank the following metrics by their importance for maintainability assessment, from 1 (most important) to 8 (least important)",,,,,,,,,
,Mean,1st,2nd,3rd,4th,5th,6th,7th,8th
Number of Control Data Flows (NOCDF),5.75,3,5,5,1,3,3,0,0
Module Halstead Volume (MHV),5.6,6,2,3,3,0,5,1,0
Number of Processes (NOP),5.45,2,6,4,2,2,2,1,1
Lines of Expressions (LOE),5.35,5,3,1,3,4,1,3,0
Cyclomatic Complexity (CC),5,3,2,5,3,1,2,3,1
Number of Data Stores Used (NODSU),4.25,0,1,2,5,8,2,1,1
Extensiveness of Comments (EOC),3,1,1,0,2,1,3,10,2
Extensiveness of Blank Lines (EOBL),1.6,0,0,0,1,1,2,1,15
